player_id,year,round,pick,team
anthoco01,2020,1,15,ORL
anthogr01,1991,1,12,NYK
anthoro01,1978,5,97,CHI
anunoog01,2017,1,23,TOR
apkeri01,1978,3,58,WSB
appelch01,1962,3,24,CIN
applebr01,1984,4,88,POR
appleti01,1977,8,163,DET
arapofr01,1987,7,159,ATL
araujra01,2004,1,8,TOR
archiro01,2002,2,32,MEM
architi01,1970,2,19,CIN
ardji01,1970,1,6,SEA
ardonja01,1962,7,55,CHZ
arenagi01,2001,2,31,GSW
argenph01,1969,10,139,LAL
arizatr01,2004,2,43,NYK
arizipa01,1950,1,3,PHW
arkolo01,1950,7,84,SYR
arlaujo01,1987,4,74,SAC
armstbj01,1989,1,18,CHI
armstbo01,1955,6,42,ROC
armstbr01,2001,1,23,HOU
armsthi01,2006,1,12,NOK
armstta01,1977,1,13,CHI
arnelje01,1955,2,15,FTW
arnetja01,1960,2,9,CIN
arniero01,1981,6,131,POR
arnolcl01,1962,7,62,BOS
arnoldo01,1983,4,76,UTA
arnolke01,1982,5,96,DAL
arnolmi01,1984,9,192,GSW
arnolor01,1959,7,55,STL
arnolsh01,1983,9,193,DAL
arnzebo01,1969,8,103,DET
artesro01,1999,1,16,CHI
arthuda01,2008,1,27,NOH
arthujo01,1969,6,73,MIL
ashfoma01,1979,5,108,WSB
ashleca01,1970,9,146,PHO
ashmoji01,1957,4,32,BOS
asikom01,2008,2,36,POR
askewvi01,1987,2,39,PHI
athadi01,1953,3,,NYK
athasal01,1948,5,,ROC
atkinbr01,1982,4,91,PHI
atkindo01,1953,17,,MNL
atkinjo01,1985,4,85,POR
atkinpa01,1983,6,137,BOS
attleal01,1960,5,39,PHW
aubrell01,1956,4,27,MNL
augmost01,1991,1,9,ATL
augusdj01,2008,1,9,CHA
augusgo01,1978,6,111,NJN
augusja01,2006,2,41,ORL
austibo01,1982,7,158,MIL
austicl01,1980,2,44,PHI
austigo01,1983,8,184,PHI
austiis01,1991,2,48,UTA
austijo01,1966,4,38,BOS
austike01,1983,5,101,DET
austima01,2003,2,36,CHI
austito01,1973,19,210,BOS
avdijde01,2020,1,9,WAS
aventan01,1991,1,15,ATL
averibi01,1973,4,55,POR
averywi01,1999,1,14,MIN
awtrede01,1970,3,46,PHI
ayersra01,1978,3,53,CHI
aytonde01,2018,1,1,PHO
azaryjo01,1951,7,67,BOS
azubuud01,2020,1,27,UTA
baackto01,1968,10,126,DET
babbilu01,2010,1,16,MIN
babetha01,1955,6,41,STL
babicmi01,1990,2,50,PHO
bachjo01,1948,2,,BOS
bacondw01,2017,2,40,NOP
baconhe01,1972,6,93,GSW
badiama01,2003,2,44,HOU
baechji01,1952,1,2,BLB
bagarda01,2000,1,24,CHI
baggeve01,1959,12,81,MNL
baglebi01,1955,5,33,STL
bagleda01,1949,6,,NYK
baglejo01,1982,1,12,CLE
baglema01,2018,1,2,SAC
baietma01,1968,8,103,ATL
baileac01,2025,1,5,UTA
baileal01,1953,10,,SYR
baileam01,2023,2,41,CHO
bailebi01,1980,8,172,SAS
baileca01,1980,3,66,SEA
baileda01,1994,2,44,IND
bailede01,1984,10,215,DEN
bailegu01,1974,2,23,HOU
baileha01,1976,10,160,KCK
